ID PUMA,PUMA,ID Year,Year,Average Wage,Average Wage Appx MOE,Record Count,Slug PUMA,PUMS Occupation,ID PUMS Occupation,Slug PUMS Occupation
"79500US0606505","Menifee, Lake Elsinore & Canyon Lake Cities PUMA, CA",2017,"2017",66552.54838709677,32279.071067994744,6,"menifee-lake-elsinore-canyon-lake-cities-puma-ca","Social workers","211020","social-workers"
"79500US0606508","Moreno Valley City PUMA, CA",2017,"2017",40794.989304812836,12332.217252398752,9,"moreno-valley-city-puma-ca","Social workers","211020","social-workers"
"79500US0606511","Riverside City (West) PUMA, CA",2017,"2017",43757.35970333745,24264.926548279407,8,"riverside-city-west-puma-ca","Social workers","211020","social-workers"
"79500US0606706","Sacramento City (North), Antelope & Rio Linda PUMA, CA",2017,"2017",26255.776340110904,15232.00122622257,5,"sacramento-city-north-antelope-rio-linda-puma-ca","Social workers","211020","social-workers"
"79500US0606707","Sacramento City (Central/Downtown & Midtown) PUMA, CA",2017,"2017",58638.92857142857,37032.90320168561,6,"sacramento-city-centraldowntown-midtown-puma-ca","Social workers","211020","social-workers"
"79500US0606709","Sacramento City (Southwest/Pocket, Meadowview & North Laguna) PUMA, CA",2017,"2017",49084.738686131386,35346.99981141018,7,"sacramento-city-southwestpocket-meadowview-north-laguna-puma-ca","Social workers","211020","social-workers"
"79500US0606710","Elk Grove City PUMA, CA",2017,"2017",26273.93795620438,17566.245028030055,10,"elk-grove-city-puma-ca","Social workers","211020","social-workers"
"79500US0607106","Colton, Loma Linda & Grand Terrace Cities PUMA, CA",2017,"2017",65739.7258347979,19927.24335548591,6,"colton-loma-linda-grand-terrace-cities-puma-ca","Social workers","211020","social-workers"
"79500US0607111","Rancho Cucamonga City PUMA, CA",2017,"2017",45343,22757.97759681281,6,"rancho-cucamonga-city-puma-ca","Social workers","211020","social-workers"
"79500US0607313","El Cajon & Santee Cities PUMA, CA",2017,"2017",54036.08480565371,20748.667505423247,7,"el-cajon-santee-cities-puma-ca","Social workers","211020","social-workers"
"79500US0607316","San Diego City (Central/Centre City & Balboa Park) PUMA, CA",2017,"2017",48653.263386396524,37510.72737167628,7,"san-diego-city-centralcentre-city-balboa-park-puma-ca","Social workers","211020","social-workers"
"79500US0607317","San Diego City (Central/Mid-City) PUMA, CA",2017,"2017",18486.05107832009,10950.050159921875,6,"san-diego-city-centralmid-city-puma-ca","Social workers","211020","social-workers"
"79500US0607318","San Diego City (Southeast/Encanto & Skyline) PUMA, CA",2017,"2017",57360.27067669173,31715.207513788737,7,"san-diego-city-southeastencanto-skyline-puma-ca","Social workers","211020","social-workers"
"79500US0607322","San Diego City (South/Otay Mesa & South Bay) PUMA, CA",2017,"2017",42020.33388429752,27829.287378646353,6,"san-diego-city-southotay-mesa-south-bay-puma-ca","Social workers","211020","social-workers"
"79500US0607506","Sunset District (South) PUMA, CA",2017,"2017",78681.77038043478,17849.247749877286,7,"sunset-district-south-puma-ca","Social workers","211020","social-workers"
"79500US0607701","Stockton City (North) PUMA, CA",2017,"2017",51969.6952,18171.43599608683,12,"stockton-city-north-puma-ca","Social workers","211020","social-workers"
"79500US0607703","Tracy, Manteca & Lathrop Cities PUMA, CA",2017,"2017",57818.57880794702,22491.257351631102,6,"tracy-manteca-lathrop-cities-puma-ca","Social workers","211020","social-workers"
"79500US0607704","Lodi, Ripon & Escalon Cities PUMA, CA",2017,"2017",27281.953874538747,21423.373715965026,5,"lodi-ripon-escalon-cities-puma-ca","Social workers","211020","social-workers"
"79500US0607901","Coastal Region PUMA, CA",2017,"2017",24702.26327683616,23061.05728598747,9,"coastal-region-puma-ca","Social workers","211020","social-workers"
"79500US0608101","Daly City, Pacifica Cities & Colma Town PUMA, CA",2017,"2017",79463.57390300231,8749.9180801714,5,"daly-city-pacifica-cities-colma-town-puma-ca","Social workers","211020","social-workers"
"79500US0608104","San Mateo (South) & Half Moon Bay Cities PUMA, CA",2017,"2017",52130.5065913371,53132.963370387304,6,"san-mateo-south-half-moon-bay-cities-puma-ca","Social workers","211020","social-workers"
"79500US0608301","Santa Maria City & Orcutt PUMA, CA",2017,"2017",49350.57464212679,30711.679745583624,6,"santa-maria-city-orcutt-puma-ca","Social workers","211020","social-workers"
"79500US0608303","South Coast Region PUMA, CA",2017,"2017",57538.288409703506,36347.796568105936,9,"south-coast-region-puma-ca","Social workers","211020","social-workers"
"79500US0608503","San Jose (Northwest) & Santa Clara Cities PUMA, CA",2017,"2017",57409.79454545455,29980.958741018723,5,"san-jose-northwest-santa-clara-cities-puma-ca","Social workers","211020","social-workers"
"79500US0608509","San Jose City (Northwest) PUMA, CA",2017,"2017",73723.16975308642,38264.44863877638,5,"san-jose-city-northwest-puma-ca","Social workers","211020","social-workers"
"79500US0608512","San Jose City (Southwest/Almaden Valley) PUMA, CA",2017,"2017",71316.84168865436,60587.19059648007,5,"san-jose-city-southwestalmaden-valley-puma-ca","Social workers","211020","social-workers"
"79500US0608513","San Jose City (Southeast/Evergreen) PUMA, CA",2017,"2017",33810.42675159236,17952.7587327616,5,"san-jose-city-southeastevergreen-puma-ca","Social workers","211020","social-workers"
"79500US0608702","Santa Cruz City PUMA, CA",2017,"2017",56315.320590790616,15618.470074195877,9,"santa-cruz-city-puma-ca","Social workers","211020","social-workers"
"79500US0608900","Redding City PUMA, CA",2017,"2017",30732.02590673575,22087.84145589174,9,"redding-city-puma-ca","Social workers","211020","social-workers"
"79500US0609503","Vacaville & Dixon Cities PUMA, CA",2017,"2017",73021.61191489361,22832.23909413,11,"vacaville-dixon-cities-puma-ca","Social workers","211020","social-workers"
"79500US0609702","Petaluma, Rohnert Park & Cotati Cities PUMA, CA",2017,"2017",21878.062322946174,17390.954963351043,5,"petaluma-rohnert-park-cotati-cities-puma-ca","Social workers","211020","social-workers"
"79500US0609703","Santa Rosa City PUMA, CA",2017,"2017",69153.86639676114,11883.256501932588,5,"santa-rosa-city-puma-ca","Social workers","211020","social-workers"
"79500US0609903","Turlock, Riverbank, Oakdale & Waterford Cities PUMA, CA",2017,"2017",36481.43941411452,15462.88275389275,10,"turlock-riverbank-oakdale-waterford-cities-puma-ca","Social workers","211020","social-workers"
"79500US0610100","Yuba City PUMA, CA",2017,"2017",25605.5171875,20725.5145886597,5,"yuba-city-puma-ca","Social workers","211020","social-workers"
"79500US0611104","San Buenaventura (Ventura) City PUMA, CA",2017,"2017",37902.75023923445,13531.467205472753,9,"san-buenaventura-ventura-city-puma-ca","Social workers","211020","social-workers"
"79500US0800100","Eastern Plains Region PUMA, CO",2017,"2017",35982.92715231788,20224.5238928551,11,"eastern-plains-region-puma-co","Social workers","211020","social-workers"
"79500US0800300","Greeley, Windsor & Evans Cities PUMA, CO",2017,"2017",36441.15862068965,21803.722078236955,5,"greeley-windsor-evans-cities-puma-co","Social workers","211020","social-workers"
"79500US0800700","Pueblo City & Pueblo West PUMA, CO",2017,"2017",43524.38574040219,16858.641213840157,12,"pueblo-city-pueblo-west-puma-co","Social workers","211020","social-workers"
"79500US0800803","Boulder City PUMA, CO",2017,"2017",61206.83747178329,37439.18102841201,5,"boulder-city-puma-co","Social workers","211020","social-workers"
"79500US0800809","Aurora City (North Central) PUMA, CO",2017,"2017",47769.93076923077,25616.827155365463,7,"aurora-city-north-central-puma-co","Social workers","211020","social-workers"
"79500US0800810","Aurora City (Northwest) PUMA, CO",2017,"2017",36216.64864864865,12501.49672583935,7,"aurora-city-northwest-puma-co","Social workers","211020","social-workers"
"79500US0800812","Denver City (Northeast) PUMA, CO",2017,"2017",39313.346153846156,16346.313336258212,8,"denver-city-northeast-puma-co","Social workers","211020","social-workers"
"79500US0800814","Denver City (South Central) PUMA, CO",2017,"2017",69025.41466854725,33046.75953628662,5,"denver-city-south-central-puma-co","Social workers","211020","social-workers"
"79500US0800819","Lakewood City (South) & Dakota Ridge PUMA, CO",2017,"2017",27544.707661290322,25593.7979471432,6,"lakewood-city-south-dakota-ridge-puma-co","Social workers","211020","social-workers"
"79500US0800823","Parker Town & The Pinery PUMA, CO",2017,"2017",24431.866171003716,18853.52963082909,5,"parker-town-the-pinery-puma-co","Social workers","211020","social-workers"
"79500US0800900","La Plata, Montezuma, Gunnison, Archuleta, Dolores, Hinsdale & San Juan Counties PUMA, CO",2017,"2017",24860.523622047243,24610.502575187973,6,"la-plata-montezuma-gunnison-archuleta-dolores-hinsdale-san-juan-counties-puma-co","Social workers","211020","social-workers"
"79500US0900102","Stamford & Greenwich Towns PUMA, CT",2017,"2017",34951.78861788618,28459.428503246432,5,"stamford-greenwich-towns-puma-ct","Social workers","211020","social-workers"
"79500US0900104","Bridgeport Town PUMA, CT",2017,"2017",21399.444126074497,9716.277301969523,8,"bridgeport-town-puma-ct","Social workers","211020","social-workers"
"79500US0900105","Stratford, Shelton, Trumbull, Newtown & Monroe Towns PUMA, CT",2017,"2017",43273.705128205125,23574.78455124059,12,"stratford-shelton-trumbull-newtown-monroe-towns-puma-ct","Social workers","211020","social-workers"
"79500US0900301","Manchester & East Hartford Towns PUMA, CT",2017,"2017",39336.19463869464,22081.166189649022,10,"manchester-east-hartford-towns-puma-ct","Social workers","211020","social-workers"
"79500US0900302","Hartford Town PUMA, CT",2017,"2017",48961.25049701789,24290.123168214403,6,"hartford-town-puma-ct","Social workers","211020","social-workers"
"79500US0900303","West Hartford, Farmington, Simsbury, Bloomfield, Avon & Canton Towns PUMA, CT",2017,"2017",37130.7027729636,16361.446669628835,16,"west-hartford-farmington-simsbury-bloomfield-avon-canton-towns-puma-ct","Social workers","211020","social-workers"
"79500US0900305","New Britain, Berlin & Plainville Towns PUMA, CT",2017,"2017",36386.13736263736,23131.283075994696,5,"new-britain-berlin-plainville-towns-puma-ct","Social workers","211020","social-workers"
"79500US0900306","Glastonbury, Newington, Wethersfield, Rocky Hill & Marlborough Towns PUMA, CT",2017,"2017",43928.87185354691,35846.421560520685,5,"glastonbury-newington-wethersfield-rocky-hill-marlborough-towns-puma-ct","Social workers","211020","social-workers"
"79500US0900500","Litchfield County PUMA, CT",2017,"2017",54432.835789473684,18225.7533567786,12,"litchfield-county-puma-ct","Social workers","211020","social-workers"
"79500US0900700","Middlesex County PUMA, CT",2017,"2017",62358.26773049645,14310.540725534996,9,"middlesex-county-puma-ct","Social workers","211020","social-workers"
"79500US0900901","Waterbury Town PUMA, CT",2017,"2017",23785.775806451613,15282.271222846683,5,"waterbury-town-puma-ct","Social workers","211020","social-workers"
"79500US0900902","Meriden, Wallingford & North Haven Towns PUMA, CT",2017,"2017",54773.748502994014,31636.33267401127,5,"meriden-wallingford-north-haven-towns-puma-ct","Social workers","211020","social-workers"
