ID Detailed Occupation,Detailed Occupation,ID Year,Year,ID Workforce Status,Workforce Status,Average Wage,Average Wage Appx MOE,Record Count,Slug Detailed Occupation
"254031","Library technicians",2019,"2019","true","true",18587.126760297506,2251.7171061019385,610,"library-technicians"
"259040","Teaching assistants",2019,"2019","true","true",22150.66249451971,465.58502263245407,14132,"teaching-assistants"
"2590XX","Other education, training, & library workers",2019,"2019","true","true",51617.49501800218,2360.284581950823,1486,"other-education-training-library-workers"
"271010","Artists & related workers",2019,"2019","true","true",58276.705739635116,4114.235049933541,1686,"artists-related-workers"
"271021","Commercial and industrial designers",2019,"2019","true","true",64602.16395654814,12541.872630844093,150,"commercial-and-industrial-designers"
"271022","Fashion designers",2019,"2019","true","true",61244.59972279972,10301.723347663185,272,"fashion-designers"
"271023","Floral designers",2019,"2019","true","true",24929.066684905272,2696.489465379241,599,"floral-designers"
"271024","Graphic designers",2019,"2019","true","true",50687.69506932817,2091.7853475862353,2860,"graphic-designers"
"271025","Interior designers",2019,"2019","true","true",54166.76592386919,3576.4825710719483,847,"interior-designers"
"271026","Merchandise displayers and window trimmers",2019,"2019","true","true",34289.51725121186,5186.242366318162,183,"merchandise-displayers-and-window-trimmers"
"27102X","Other designers",2019,"2019","true","true",70548.31770751288,2694.4025170366813,3161,"other-designers"
"272011","Actors",2019,"2019","true","true",45921.37635914724,9372.67557270642,412,"actors"
"272012","Producers & directors",2019,"2019","true","true",85624.14593801163,5169.515050056157,1644,"producers-directors"
"272021","Athletes and sports competitors",2019,"2019","true","true",73602.07685239328,15521.343498248429,301,"athletes-and-sports-competitors"
"272022","Coaches and scouts",2019,"2019","true","true",32449.74951587101,2409.015801075715,2398,"coaches-and-scouts"
"272023","Umpires, referees, and other sports officials",2019,"2019","true","true",9158.241265049151,2679.063330881772,290,"umpires-referees-and-other-sports-officials"
"272030","Dancers & choreographers",2019,"2019","true","true",34510.61316402116,8546.932149792037,175,"dancers-choreographers"
"272041","Music directors and composers",2019,"2019","true","true",43225.63831083615,5750.791202051868,481,"music-directors-and-composers"
"272042","Musicians and singers",2019,"2019","true","true",36481.94162285795,4263.747184568296,1228,"musicians-and-singers"
"272091","Disc jockeys, except radio",2019,"2019","true","true",32620.51853455742,6079.9931094039,75,"disc-jockeys-except-radio"
"272099","Entertainers & performers, sports & related workers, all other",2019,"2019","true","true",42971.396651658644,8294.63460856004,331,"entertainers-performers-sports-related-workers-all-other"
"273011","Broadcast announcers and radio disc jockeys",2019,"2019","true","true",67535.98180248619,13735.544728655226,293,"broadcast-announcers-and-radio-disc-jockeys"
"273023","News analysts, reporters, and journalists",2019,"2019","true","true",63581.55306125113,5339.913579277469,767,"news-analysts-reporters-and-journalists"
"273031","Public relations specialists",2019,"2019","true","true",83895.27298007888,5914.963557459554,1255,"public-relations-specialists"
"273041","Editors",2019,"2019","true","true",62733.91920323344,2966.717571739053,1343,"editors"
"273042","Technical writers",2019,"2019","true","true",76476.75166803616,4559.152336261438,639,"technical-writers"
"273043","Writers & authors",2019,"2019","true","true",62070.41364708693,4378.591669287124,1804,"writers-authors"
"273091","Interpreters and translators",2019,"2019","true","true",38448.32228789778,2964.589369907287,813,"interpreters-and-translators"
"273092","Court reporters and simultaneous captioners",2019,"2019","true","true",63764.996535746766,8808.604066201435,250,"court-reporters-and-simultaneous-captioners"
"273099","Media and communication workers, all other",2019,"2019","true","true",55792.84412632394,7223.767427495712,222,"media-and-communication-workers-all-other"
"274021","Photographers",2019,"2019","true","true",37020.47466266618,2988.6069733520353,1149,"photographers"
"274030","Television, video, & motion picture camera operators & editors",2019,"2019","true","true",58983.21899244736,4678.500864149668,855,"television-video-motion-picture-camera-operators-editors"
"2740XX","Broadcast & sound engineering technicians & radio operators, & media & communication equipment workers, all other",2019,"2019","true","true",55926.46928323902,4826.841831872797,941,"broadcast-sound-engineering-technicians-radio-operators-media-communication-equipment-workers-all-other"
"291011","Chiropractors",2019,"2019","true","true",76770.96541564503,7660.663598786905,523,"chiropractors"
"291020","Dentists",2019,"2019","true","true",184644.61948379586,9111.933545094884,1655,"dentists"
"291031","Dietitians & nutritionists",2019,"2019","true","true",48599.616793605455,2432.9204700767295,1016,"dietitians-nutritionists"
"291041","Optometrists",2019,"2019","true","true",115843.37946884576,10014.494902219772,465,"optometrists"
"291051","Pharmacists",2019,"2019","true","true",106120.89281040628,2352.3980430255747,3403,"pharmacists"
"291071","Physician assistants",2019,"2019","true","true",115610.06655910493,5537.808615939667,1475,"physician-assistants"
"291081","Podiatrists",2019,"2019","true","true",126026.7153800825,25649.201038363964,104,"podiatrists"
"291122","Occupational therapists",2019,"2019","true","true",63484.221860115314,2217.6420838368263,1391,"occupational-therapists"
"291123","Physical therapists",2019,"2019","true","true",74238.2731262584,2326.0997962234946,2739,"physical-therapists"
"291124","Radiation therapists",2019,"2019","true","true",82803.88473687347,9347.701469557702,170,"radiation-therapists"
"291125","Recreational therapists",2019,"2019","true","true",33036.59796966732,3933.67955442321,161,"recreational-therapists"
"291126","Respiratory therapists",2019,"2019","true","true",62948.51101412243,3901.0307496682126,1128,"respiratory-therapists"
"291127","Speechlanguage pathologists",2019,"2019","true","true",60828.590030010004,1920.9705390191766,1833,"speechlanguage-pathologists"
"29112X","Other therapists, including exercise physiologists",2019,"2019","true","true",50086.478776653465,2738.2219919189974,1655,"other-therapists-including-exercise-physiologists"
"291131","Veterinarians",2019,"2019","true","true",98826.867025591,5687.690176185947,992,"veterinarians"
"291141","Registered nurses",2019,"2019","true","true",67119.07381117788,551.9071129911424,33654,"registered-nurses"
"291151","Nurse anesthetists",2019,"2019","true","true",165749.29124509124,8854.274375291918,448,"nurse-anesthetists"
"291181","Audiologists",2019,"2019","true","true",88789.75197984162,13256.659576351565,208,"audiologists"
"2911XX","Nurse practitioners & nurse midwives",2019,"2019","true","true",99760.84452998191,2385.1771748284586,2341,"nurse-practitioners-nurse-midwives"
"291210","Physicians",2019,"2019","true","true",238718.33169203633,4562.8965997478435,9444,"physicians"
"291240","Surgeons",2019,"2019","true","true",334037.73063568375,20270.859932463976,584,"surgeons"
"291291","Acupuncturists",2019,"2019","true","true",53942.42447879734,13256.735387645553,171,"acupuncturists"
"291292","Dental hygienists",2019,"2019","true","true",55351.2824408786,2535.857181793591,1988,"dental-hygienists"
"291299","Healthcare diagnosing or treating practitioners, all other",2019,"2019","true","true",38420.74824253075,17470.42950830813,68,"healthcare-diagnosing-or-treating-practitioners-all-other"
"292010","Clinical laboratory technologists & technicians",2019,"2019","true","true",48206.5841556329,1459.9562585629446,3177,"clinical-laboratory-technologists-technicians"
"292031","Cardiovascular technologists and technicians",2019,"2019","true","true",87685.72256201495,12860.199660467306,433,"cardiovascular-technologists-and-technicians"
"292032","Diagnostic medical sonographers",2019,"2019","true","true",81225.33759911284,7267.907048402833,951,"diagnostic-medical-sonographers"
"292034","Radiologic technologists and technicians",2019,"2019","true","true",64922.32757938683,3352.7219055619157,2263,"radiologic-technologists-and-technicians"
"292035","Magnetic resonance imaging technologists",2019,"2019","true","true",99523.25453750274,12306.269118973543,452,"magnetic-resonance-imaging-technologists"
"29203X","Nuclear medicine technologists and medical dosimetrists",2019,"2019","true","true",124042.23975636766,19487.965397383396,293,"nuclear-medicine-technologists-and-medical-dosimetrists"
"292042","Emergency medical technicians",2019,"2019","true","true",37151.55428810671,2386.1646694486694,1274,"emergency-medical-technicians"
"292043","Paramedics",2019,"2019","true","true",62004.70009997717,4066.684660774625,1239,"paramedics"
"292052","Pharmacy technicians",2019,"2019","true","true",31873.606546476698,941.9784258414762,3415,"pharmacy-technicians"
"292053","Psychiatric technicians",2019,"2019","true","true",32958.88629083172,2654.5123222859875,732,"psychiatric-technicians"
"292055","Surgical technologists",2019,"2019","true","true",47073.04922559173,2283.8942167286227,979,"surgical-technologists"
"292056","Veterinary technologists and technicians",2019,"2019","true","true",29735.660397924923,1372.9050893184149,1399,"veterinary-technologists-and-technicians"
"29205X","Dietetic technicians and ophthalmic medical technicians",2019,"2019","true","true",31688.77393281525,4444.702892020077,543,"dietetic-technicians-and-ophthalmic-medical-technicians"
"292061","Licensed practical & licensed vocational nurses",2019,"2019","true","true",42719.10377473892,1092.6957461321167,6339,"licensed-practical-licensed-vocational-nurses"
"292072","Medical records specialists",2019,"2019","true","true",44793.04755369008,1551.1923873977023,1908,"medical-records-specialists"
"292081","Opticians, dispensing",2019,"2019","true","true",39598.70957798165,2888.1623221074433,702,"opticians-dispensing"
"292090","Miscellaneous health technologists & technicians",2019,"2019","true","true",52838.00834655261,3842.0490809590897,1325,"miscellaneous-health-technologists-technicians"
"299000","Other healthcare practitioners & technical Occupations",2019,"2019","true","true",61873.94433438769,4941.710502677822,923,"other-healthcare-practitioners-technical-occupations"
"311121","Home health aides",2019,"2019","true","true",22101.732480965016,784.3157337937323,4433,"home-health-aides"
"311122","Personal care aides",2019,"2019","true","true",22508.300995535785,565.8805603382252,11905,"personal-care-aides"
"311131","Nursing assistants",2019,"2019","true","true",26780.27333723642,477.23095048312314,11741,"nursing-assistants"
"31113X","Orderlies and psychiatric aides",2019,"2019","true","true",29615.123546929288,1641.9975843966731,609,"orderlies-and-psychiatric-aides"
"312010","Occupational therapy assistants & aides",2019,"2019","true","true",37997.446878303024,2022.4248252022628,558,"occupational-therapy-assistants-aides"
"312020","Physical therapist assistants & aides",2019,"2019","true","true",38110.56128484162,1982.2665869738341,1284,"physical-therapist-assistants-aides"
"319011","Massage therapists",2019,"2019","true","true",27293.858117752323,1712.9942972931287,1337,"massage-therapists"
"319091","Dental assistants",2019,"2019","true","true",33103.30689928147,1361.3084261825607,2906,"dental-assistants"
"319092","Medical assistants",2019,"2019","true","true",32842.35311455649,767.0645741267596,5109,"medical-assistants"
"319094","Medical transcriptionists",2019,"2019","true","true",22011.633766282943,2050.859924577032,552,"medical-transcriptionists"
"319095","Pharmacy aides",2019,"2019","true","true",37306.4616726233,5450.87349256344,299,"pharmacy-aides"
